"Measure","Aliases"
"SP Demand Override New","['SP Demand Override']"
"Released DC2DC","[]"
"Released Buyback","[]"
"Released Dark2DC","[]"
"Intransit Qty VAR","[]"
"Intransit Qty OEM","[]"
"Final Consensus Forecast","[]"
"Overnight","[]"
"Emergency","[]"
"Buyback QOZ Flag","[]"
"Reco PR Qty for Cable","[]"
"Stat Fcst UOM","[]"
"Sim Pseudo Supply","[]"
"Sim Recommended PR","[]"
"Sim Net Supply Available (NBD)","[]"
"Sim Consolidated Supply","[]"
"M Ending On Hand Sim","[]"
"Existing PO CTDI Excluded","[]"
"Safety Stock % Covered","[]"
"National Scheduled Receipts","[]"
"National EOM maximum projected supply available","[]"
"Quantity Available","[]"
"Association for Working Day PR","[]"
"6 Months MA Avg","[]"
"Recommended Max Target","['o9 Recommended Max Target']"
"Min DSOH Target Qty for IO","['ATT Min DSOH Target Qty']"
"Current Month Avg Forecast - Daily","[]"
"Recommended Safety Stock","['o9 Recommended Safety Stock']"
"Affiliate Demand","[]"
"Final Forecast Cat9","['Final Forecast']"
"3 Months MA Avg","[]"
"Actual Shipments","[]"
"ATT Segmentation","[]"
"Existing PO","[]"
"SO Maintenance Shipments","[]"
"SO Provisioning Shipments","[]"
"SO Replenishment Shipments","[]"
"Submitted Month","[]"
"Demand Forecast Type","[]"
"Original NBD","[]"
"Quantity Available Intermediate","['Final Quantity Available']"
"Final Purchase Forecast","[]"
"Sim Max DSOH Qty","[]"
"Sim Min DSOH Qty","[]"
"Past Due PO Qty with flag","['Past Due PO Qty']"
"Actuals Cat9","[]"
"Pass Through Forecast 1","[]"
"Final Forecast Cat9 LC","[]"
"Published Purchase Forecast","[]"
"Pass Through Forecast 2","[]"
"Buyback Cost","[]"
"Vendor Collab Quantity New","['Vendor Collab Quantity']"
"Consolidated Demand PF","['Consolidated Demand']"
"D Demand Quantity","['Demand Quantity']"
"GFR Quantity PF","['GFR Quantity']"
"Pass Through Forecast Consideration","[]"
"Buyback Price Override","[]"
"Consensus Forecast","[]"
"Factor Forecast","[]"
"Factor at Cat9","[]"
"Top Down Target","[]"
"Forecast New","['Naive Forecast']"
"Final Purchase Forecast National","[]"
"Export Flag","[]"
"D Total Met On Time Quantity","['Total Met On Time Quantity']"
"Factor Forecast Override","[]"
"Approved DC2DC transfer type.6379a863-f88b-4c16-8d1d-0ba961a21edc",""
"Beginning OnHand MRP","[]"
"Uploaded ATT UID","['Uploaded ATT User ID']"
"Uploaded Time New","['Uploaded Time']"
"Net Available Exception Report Aggregated on PO Coverage","[]"
"Planners Justification","[]"
