"Measure","Aliases"
"Published Fcst vs LC Abs Gap","[]"
"Demand Realized Qty","[]"
"Published Fcst vs LY %","[]"
"D WIP Short Quantity","[]"
"SCH Item BOM Routing Association","['BOM-Routing Association']"
"RGM Halo Margin Gained","['Margin gained due to Halo effect']"
"AL KPI OTIF ED L4W","['Last 4 Weeks']"
"SCH Exception Downtime End Time","['Downtime End']"
"SCH Exception Downtime Reduced Capacity","['Capacity Reduction']"
"SCH Exception Downtime Start Time","['Downtime Start']"
"SCH Exception Downtime Type","['Type']"
"SCH Exception Downtime Description","['Description']"
"SCH Exception Downtime Duration","['Duration']"
"W Excess EOH Max","[]"
"W Excess Inventory Days Count","[]"
"W Excess Inventory Holding Cost","[]"
"Outlier Average",""
"Capacity Split Flag Global Week to Day OverRide","['Capacity disaggregation from Week to Day Override']"
"Outlier Average ",""
"Uncons Off Invoice","[]"
"Uncons Off Invoice LC","[]"
"Uncons Off Invoice LY","[]"
"Total Supply",""
"W Excess Inventory Obsolescence Risk","[]"
"SCH Exception Downtime Duration UOM","['Duration UOM']"
"AL KPI OTIF ED LW","['Last Week']"
"Seasonality L1","[]"
"Scope 2 Cooling Intensity Metrics Employee","['Employee']"
"RGM Base Sales Margin","['Base Sales CMA']"
"RGM Cannibalization Margin Loss","['Margin loss due to cannibalization']"
"RGM Estimated Gross Margin","['Estimated CMA']"
"Daily Flex2 Item Shared Supplier Capacity By Day","[]"
"D Where Used Broken Network Node",""
"D WIP Met Late Quantity","[]"
"D Demand Priority Override","['Demand Priority Override']"
"RGM Stockpiling Margin Loss","['Margin loss due to stockpiling']"
"RGM IF Planned End Date L8","['Initiative End Date']"
"RGM IF Planned Objective L8","['Initiative Objective']"
"RGM IF Planned Start Date L8","['Initiative Start Date']"
"Daily Base Item Supplier Capacity By Day","[]"
"Daily Flex1 Item Shared Supplier Capacity By Day","[]"
"Daily Flex1 Item Supplier Capacity By Day","[]"
"RGM Initiative Rank","['Initiative Rank']"
"Uncons Off Invoice vs LY %","[]"
"Uncons Off Invoice vs LY Gap","[]"
"Uncons Off Invoice vs LY Gap %","[]"
"Uncons On Invoice","[]"
"Scope 2 Cooling Intensity Metrics Product Handled","['Product Handled']"
"Capacity Assortment Global Telescopic Bucket to Day OverRide","['Rule for Capacity Disaggregation from Telescopic Bucket to Day Override']"
"Capacity Assortment Global Telescopic Bucket to Week OverRide","['Rule for Capacity Disaggregation from Telescopic Bucket to Week Override']"
"Uncons Outlook REV vs LY %","[]"
"Scope 2 Heat Intensity Metrics Employee","['Employee']"
"SCH Downtime Weekly Pattern Description","['Description']"
"SCH Downtime Weekly Pattern Duration","['Duration']"
"SCH Downtime Weekly Pattern Duration UOM","['Duration UOM']"
"SCH Downtime Weekly Pattern End Time","['Downtime End']"
"RTF","[]"
"RGM Net Sales Value","['NSV']"
"SCH Downtime Weekly Pattern Reduced Capacity","['Capacity Reduction']"
"SCH Downtime Weekly Pattern Start Time","['Downtime Start']"
"SCH Downtime Weekly Pattern Type","['Type']"
"Uncons On Invoice LC","[]"
"Uncons Net REV vs LC %","[]"
"Uncons Net REV vs LY %","[]"
"Daily Flex2 Item Supplier Capacity By Day","[]"
"RGM Gross Margin","['Gross CMA']"
"RGM Residual Gross Margin","['Residual CMA']"
"Uncons Off Invoice vs LC Gap","[]"
"Uncons Off Invoice vs LC Gap %","[]"
"Uncons Outlook COGS vs LC %","[]"
"Scope 2 Heat Intensity Metrics Product Handled","['Product Handled']"
"D Demand Build Ahead Limit Override","['Demand Build Ahead Limit Override']"
"IO Fixed Order Cost","['Fixed Order Cost']"
"Scope 2 Intensity Metrics Employee","['Employee']"
"Scope 2 Intensity Metrics Product Handled","['Product Handled']"
"Daily Base Item Shared Supplier Capacity By Day","[]"
"Reference3 Fcst vs LY %","[]"
"Reference3 Fcst vs LY Abs Gap","[]"
"Outlook REV vs LY %","[]"
"Outlook REV vs LY Abs Gap","[]"
"Scope 2 Electricity Intensity Metrics Area","['Area (sq. m)']"
"Scope 2 Electricity Intensity Metrics Employee","['Employee']"
"Scope 2 Heat Intensity Metrics Area","['Area (sq. m)']"
"Reference3 Fcst Lag2","[]"
"Reference3 Fcst vs LC Abs Gap","[]"
"Reference2 Fcst vs LC Abs Gap","[]"
"Outlook REV vs LC %","[]"
"Reviewed","[]"
"Scope 2 Steam Intensity Metrics Area","['Area (sq. m)']"
"Reference2 Fcst vs LY %","[]"
"W Flex Capacity Utilization %","['Flex Capacity Utilization %']"
"Scope 2 Steam Intensity Metrics Product Handled","['Product Handled']"
"Scope 1 Fugitive Intensity Metrics Area","['Area (sq. m)']"
"Scope 1 Fugitive Intensity Metrics Employee","['Employee']"
"Reference2 Fcst Lag2","[]"
"Reference3 Fcst vs LC %","[]"
"Reference2 Fcst vs LC %","[]"
"Volume % L1","[]"
"D Demand Build Late Limit Override","['Demand Build Late Limit Override']"
"Uncons Outlook GM vs Outlook Gap","[]"
"Uncons Outlook GM vs Outlook Gap %","[]"
"Uncons Outlook GM vs Target Gap %","[]"
"CM Efficiency Override","[]"
"Uncons On Invoice vs LC Gap","[]"
"Uncons On Invoice vs LC Gap %","[]"
"Uncons On Invoice vs LY %","[]"
"Uncons On Invoice vs LY Gap","[]"
"Uncons On Invoice vs LY Gap %","[]"
"Outlook REV vs LC Abs Gap","[]"
"DIST Transportation Shared Capacity Override","['Base Capacity Override']"
"Reason","[]"
"Reason Code","[]"
"Uncons On Invoice LY","[]"
"Uncons On Invoice vs LC %","[]"
"Uncons Off Invoice vs LC %","[]"
"Supplier Location As Location Association","[]"
"Supplier Item Priority Final","['Supplier Item Priority']"
"Flow 3 Interim TPE Final Forecast","['Final Forecast at Region TPE level']"
"D Inventory Shortage Quantity","['Max Shortage']"
"D WIP Sweep Priority","[]"
"Cable Reel Availability","[]"
"Net Available (NBD)","[]"
"Last Updated User Name","[]"
"Supply Bucket Priority 2","[]"
"Supply Bucket Priority 1","[]"
"Trigger Max Stock PF","['Trigger Max Stock']"
"Created By","[]"
"Last Updated Time Stamp","[]"
"Creation Date Time","[]"
"Actual Demand","[]"
"Flow 1 Final Item Forecast Original UoM","['Primary UoM Forecast at Item Region level']"
"Flow 1 TPE Item Final Split Ratio","['TPE to Item Final Split Ratio']"
"M OnHand Quantity","['OnHand Quantity']"
"D Demand Priority Plugin Output Normalised","[]"
"D Re-Order Point Quantity","['Re-Order Point Quantity']"
"o9 Goods Receipt Time Standard Deviation IL","[]"
"Approved RA by Transfer Type.36602dfa-6832-460b-8b68-24e3011b258b",""
"ProcLane Supplier Location Association","[]"
"BoH Deficit","[]"
"CONSIGNED ITEM FLAG","[]"
"PRIM UOM CODE","[]"
"EoH Deficit","[]"
"ALLOW PRICE OVERRIDE FLAG","[]"
"MIN ORDER QUANTITY","[]"
"MAX ORDER QUANTITY","[]"
"PLANNER CODE","[]"
"END DATE","[]"
"SUPPLIER ITEM NAME","[]"
"Flow 1 Cat9 Region Reco Ratio","['Cat9 to Region Reco Ratio/Last Cycle']"
"Flow 1 Actuals for Cat9 and Region","['Actuals at Cat9 Region level']"
"START DATE","[]"
"Past due SO demand Value","[]"
"o9 Planned Delivery Time Standard Deviation IL","[]"
"W Activity Lead Time","['Activity Lead Time']"
"ERP Planned Delivery Time Standard Deviation IL","[]"
"Total count","[]"
"o9 Lot Size Increment IL","['Lot Size Increment']"
"Exception count","[]"
"D STO Alert Inventory Status Current","['Inventory Status@Current Date']"
"ERP Goods Receipt Time Standard Deviation IL","[]"
"PROC Lot Size Increment","['Default']"
"ERP Lot Size Increment IL","['Lot Size Increment']"
"Flow 3 Interim TPE Forecast Override","['Forecast at Region TPE Override']"
"ERP Min Lot size IL","['Min Lot Size']"
"Flow 1 Item Region Forecast Override","['Forecast at Item Region Override']"
"o9 Min Lot size IL","['Min Lot Size']"
"Flex1 Item Shared Supplier Capacity","['Flex1 Capacity', 'Flex1 Capacity']"
"From Location To Location Association Override","['Override']"
"Base Item Shared Supplier Capacity","['Base Capacity', 'Base Capacity', 'Weekly Base Capacity']"
"Stat Forecast Accuracy D Lag4","[]"
"Publish Forecast Bias D Lag4","[]"
"Publish Forecast Bias D Lag2","[]"
"Actuals for Item DC","[]"
"Actuals Bias D Lag4","[]"
"Publish Forecast Accuracy D Lag2","[]"
"Deactivate Supplier","[]"
"BODLane End Date IL","['Default']"
"BODLane Start Date IL","['Default']"
"Supplier End Date External Input","['External Input']"
"PROC Lead Time External Input","['External Input']"
"Actuals Accuracy D Lag2","[]"
"Supplier Item Priority External Input","['External Input']"
"DIST Planned Delivery Time IL","['Default']"
"M Expected Receipts","['Expected Receipts']"
"Supplier Start Date External Input","['External Input']"
"Actuals MPE D Lag2","[]"
"Actuals MAPE D Lag4","[]"
"Actuals MAPE D Lag2","[]"
"BOD Shared Resource Consumed Quantity Per","[]"
"Actuals Bias D Lag2","[]"
"From Location To Location Association","['Default']"
"Publish Forecast MAPE D Lag2","[]"
"Flex2 Item Shared Supplier Capacity","['Flex2 Capacity', 'Flex2 Capacity']"
"Actuals Accuracy D Lag4","[]"
"PROC Lead Time Final By Week","['Supplier Item Lead Time']"
"Stat Forecast Bias D Lag2","[]"
"Stat Forecast Bias D Lag4","[]"
"BuyBack Supply","[]"
"PROC Lot Size Increment Override","['Override']"
"Priority Rule Sequence","[]"
"Stat Forecast MAPE D Lag2","[]"
"Stat Forecast MAPE D Lag4","[]"
"Publish Forecast MPE D Lag4","[]"
"Stat Forecast MPE D Lag4","[]"
"PROC Min Lot Size Override","['Override']"
"Item From Location To Location Association Override","['Override']"
"DIST Goods Receipt Time IL","['Default']"
"Stat Forecast MPE D Lag2","[]"
"Stat Forecast Accuracy D Lag2","[]"
"Active for Distribution","[]"
"Publish Forecast MPE D Lag2","[]"
"Publish Forecast MAPE D Lag4","[]"
"Actuals MPE D Lag4","[]"
"PO Line Detail Actual Delivery Date","['Actual Delivery Date']"
"Publish Forecast Accuracy D Lag4","[]"
"Item Activity 123 Association","[]"
"CREATIONDATE","[]"
"SO Maintenance Type Priority","[]"
"DC2DC Destination","[]"
"Min AFT Transfer Quantity","[]"
"Dark2DC PO history horizon","['Dark2DC PO history horizon']"
"Dark2DC PO Future horizon","['Dark2DC PO Future horizon']"
"Dark2DC Min Multiplier","[]"
"Dark2DC GFR History Horizon","['Dark2DC GFR History Horizon']"
"Dark2DC GFR Future Horizon","['Dark2DC GFR Future Horizon']"
"Dark2DC AFT Orders history Horizon","['Dark2DC AFT Orders history Horizon']"
"Dark2DC AFT Orders Future Horizon","['Dark2DC AFT Orders Future Horizon']"
"LAST MODIFIED DATE","[]"
"LAST MODIFIED BY","[]"
"SO Source Type","[]"
"CREATEDBY","[]"
"Dark2DC Shipment horizon","['Dark2DC Shipment horizon']"
"Buyback","[]"
"Deficit Calc Window","['Deficit Calc Window (Months)']"
"Past Due SO window","['Past Due SO window (Days)']"
"SO Provisioning Type Priority","[]"
"Published Forecast","[]"
"Include Intransit Dark2DC","[]"
"Past Due PO window","['Past Due PO window (Days)']"
"Horizon for Calc Split Ratio","[]"
"Include GFR Dark2DC","[]"
"Dark2DC Max Multiplier","[]"
"BUILD NON BUILD","[]"
"Dark2DC","[]"
"Creation Time","[]"
"SO Replenishment Type Priority","[]"
"Include PO Dark2DC","[]"
"Excess Calc Window","['Excess Calc Window (Months)']"
"Active Flag","[]"
"DC2DC Source","[]"
"Valid Item Location Association","[]"
"Purchase Forecast PF Value FR","[]"
"Past due SO demand Qty","[]"
"Flow 3 TPE Region Reco Ratio","['TPE to Region Reco Ratio/Last Cycle']"
"Purchase Forecast PF Qty FR","[]"
"SP Segment","['SP Segment Prior']"
"Flow 1 TPE Item Reco Ratio","['TPE to Item Reco Ratio/Last Cycle']"
"D Demand Quantity Increment %","['Demand Quantity Increment %']"
"D Material Consumption Association","['Material Consumption Association']"
"Item Location To Location Association","[]"
"PROC Include For MP","[]"
"PROC Include For OP","[]"
"Supplier As Item Resource Association","[]"
"D STO Alert Current Inventory","['Inventory@Current Date']"
"D Planning Horizon Association","[]"
"Avg Price FR","[]"
"PR Creation Date","[]"
"Resource Consumption Association","[]"
"On - Trade Discount Actual","[]"
"On - Revenue Rebate Actual","[]"
"On - Quantity Discount Actual","[]"
"On - Price Variance Actual","[]"
"On - Other Allowance Actual","[]"
"On - Free Product Actual","[]"
"On - Cascade Actual","[]"
"D Demand Gap","['Demand Gap', 'Demand Gap']"
"Inventory Value - Year","[]"
"Inventory Value - Quarter","[]"
"Inventory Value - Month","[]"
"Inventory - Year","[]"
"Inventory - Quarter","[]"
"Inventory - Month","[]"
"Flex2 Item Supplier Capacity","['Flex2 Capacity']"
"Base Item Supplier Location TransMode Capacity By Week","['Base Capacity Override', 'Weekly Base Capacity Override']"
"Flex2 Item Supplier Location TransMode Capacity By Week","['Flex2 Capacity Override']"
"PROC o9 Planned Delivery Time ILS","['o9 Maintained Input']"
"Final Resource Priority","[]"
"Monthly Total NBD Qty FR","[]"
"Base Item Supplier Capacity","['Base Capacity', 'Weekly Base Capacity']"
"D Planner Assigned Capacity Flag At Item","['Prioritized Capacity Constraints']"
"DIST Exclude For MP Flag","['Exclude For MP Flag']"
"Item BODLane TransMode Min Lot Size","['Default', 'Default']"
"Item BODLane TransMode Lot Size Increment Override","['Override']"
"Item BODLane TransMode Lot Size Increment","['Default', 'Default']"
"W PO Open Quantity TG","['PO Open Qty']"
"BODLane End Date From Location To Location","['End Date']"
"Item BODLane TransMode Lead Time External Input","[]"
"M WIP Material Production Quantity Plan Output","[]"
"M Total Required Capacity Consumption Plan","['Total Required Capacity Consumption Plan']"
"M Total Demand At Material Node","['Total Outflow']"
"Flex1 Item Supplier Location TransMode Capacity By Week","['Flex1 Capacity Override']"
"On - Logistics Allowance Actual","[]"
"PROC ERP Planned Delivery Time ILS","['ERP Input']"
"D Supplier Item Share","['Supplier Share']"
"D Supplier Priority Time Varying","[]"
"W Supplier Priority Time Varying","[]"
"D Procurement Forecast Cumulative","['Cumulative Request']"
"D Demand Priority Plugin Output","[]"
"Flow 1 Final Item Forecast LC1","['Final Forecast at Item Region level LC']"
"M Flex Capacity Consumption","['Flex Capacity Consumption']"
"M Flex Capacity Band2","['Flex Capacity Band2']"
"M Flex Capacity Band1","['Flex Capacity Band1']"
"W Critical Item Flag","['MP']"
"BODLane End Date IL Override","['Override']"
"Item Location Supplier TransMode Association External Input","['External  Input']"
"Item Location Supplier TransMode Association","[]"
"Item BODLane TransMode Soft Lot Size Override","['Override']"
"Monthly Total NBD Value FR","[]"
"Item BODLane TransMode Priority External Input","[]"
"Item BODLane TransMode Min Lot Size Override","['Override']"
"DIST Planned Delivery Time IL Override","['Override']"
"DIST Goods Receipt Time IL Override","['Override']"
"DIST TransMode Priority","['TransMode Priority']"
"BODLane Start Date IL Override","['Override']"
"Item BODLane TransMode Soft Lot Size","['Default']"
"BODLane Start Date From Location To Location","['Start Date']"
"D No Carry Inventory","['No Carry Inventory']"
"D Material Demand Late Short Quantity","['Material Demand Late Short Quantity']"
"DIST Exclude For OP Flag","['Exclude For OP Flag', 'Exclude For OP Flag']"
"No of Material constraints DR","['No of Material constraint']"
"No of Capacity constraints DR","['No of Capacity constraints']"
"W Planner Assigned Capacity Flag At Item","['Prioritized Capacity Constraints']"
"Flex1 Item Supplier Capacity","['Flex1 Capacity']"
"D Critical Item Flag","['OP']"
"D STO Alert Current Target Inventory","['Target Inventory@Current Date']"
"Resource Consumed Quantity Per","[]"
"Location To Location Association","[]"
"M Demand Quantity ET","[]"
"D Item Location Association","[]"
"Netted Consolidated Forecast Batch","[]"
"M Demand Quantity PF","[]"
"Final Item Approved Supplier Association","[]"
"MFG Frozen Window By Item Location Final","[]"
"Excess Demand Expected Receipt","[]"
"M Demand Quantity AFTR","[]"
"Activity Lead Time","[]"
"Final Item From Location To Location Association","[]"
"IO Suggested Reorder Point Days","['Suggested Reorder Point in Days']"
"AL STO Non Time Phased StdDev Outbound","['Lead Time Standard Deviation (Days) Outbound']"
"Stat Fcst Weighted Snaive","[]"
"Stat Fcst Weighted AOA","[]"
"Under Forecast Lag1 (Stat Fcst Reference)",""
"Over Forecast Lag1",""
"SCH MangoGem Optimization Max Quietness","['Max Quietness']"
"SCH MangoGem Optimization Max Iteration","['Max Iteration']"
"Actual vs LY Abs Gap","[]"
"SCH Item Routing Successor Operation","['Successor Operation']"
"SCH Item Routing Successor Min Delta UOM","['Min Delta UOM']"
"SCH Item Routing Successor Min Delta","['Min Delta']"
"D Upstream Network Item Lead Time Platform",""
"D Upper Threshold WOS","['D Upper Threshold DOS']"
"SCH Material Unrestricted Quantity","['Unrestricted Quantity']"
"SCH Material Slack UOM","['Slack UOM']"
"Demand Attribute3","[]"
"Demand Attribute2","[]"
"Demand Attribute1","[]"
"Demand LY","[]"
"Demand","[]"
"Actual Median","[]"
"Purchased LC","[]"
"Purchased","[]"
"SCH Material Batch ID","['Batch ID']"
"SCH MangoGem Scheduling Chunk","['Scheduling Chunk']"
"SCH MangoGem Population Size","['Population Size']"
"SCH MangoGem Optimization StopT","['Optimization StopT']"
"SCH MangoGem Optimization StopQ","['Optimization StopQ']"
"SCH MangoGem Optimization StopI","['Optimization StopI']"
"Demand Target","[]"
"Demand Realization Perc","[]"
"Purchase Orders",""
"D WIP BLL","[]"
"D WIP BAL","[]"
"SCH Item Supportability Late Tolerance UOM","['Late Tolerance UOM']"
"SCH Item Supportability Late Tolerance","['Late Tolerance']"
"SCH Item Supportability Early Tolerance UOM","['Early Tolerance UOM']"
"SCH Item Supportability Early Tolerance","['Early Tolerance']"
"D Total Short Quantity Delta","['Total Short Quantity Delta']"
"W Demand Quantity Override","['Demand Quantity Override']"
"W Demand Quantity Baseline","['Demand Quantity Baseline']"
"W Material Demand Late Short Quantity Lead Time Before Current","['Lead Time Plan Before Current']"
"W Material Demand Late Short Quantity Frozen Window","['Frozen Window']"
"W Material Demand Late Short Quantity Effectivity","['Effectivity']"
"W Material Consumption RCA Pegged Qty","[]"
"W Material Constrained","['Material Constrained']"
"W Manufacturing Capacity Demand Late Short Quantity","['Manufacturing Capacity Constraint']"
"Published Final Fcst","[]"
"SCH Material Slack","['Slack']"
"Demand LC","[]"
"SCH Material Location Association","['Item Location Association']"
"SCH Material InQuality Inspection","['InQuality Inspection']"
"SCH Material Expiry Date","['Expiry Date']"
"SCH Material Blocked","['Blocked']"
"Published Fcst Accuracy","[]"
"Difference Material Consumption",""
"Difference Capacity Consumption",""
"D Total Met On Time Delta","['Total Met On Time Delta']"
"D Total Late Quantity Delta","['Total Late Quantity Delta']"
"D Total Capacity Utilization % COC Change %","['COC Total Utilization Change %']"
"D Total Capacity Utilization %","[]"
"D Total Capacity COC Change %","['COC Total Capacity Change %']"
"SCH Output Resource Base Capacity","['Base Capacity']"
"Density L1","[]"
"Publish Forecast Quantity D Lag4",""
"SCH MangoGem Optimization Max Acceptance","['Max Acceptance']"
"Actual Cleansed System","[]"
"W Material Demand Late Short Quantity To Nodes","['Material Late Short Quantity']"
"W Material Demand Late Short Quantity Material Short","['Material Short']"
"SCH Output Gantt Operation Queue Info","[]"
"SCH Output Resource Overtimes Capacity","['Overtimes Capacity']"
"SCH PO Quantity","['PO Quantity']"
"SCH PO Goods Receiving Date","['Expected Arrival Date']"
"Audit Log","[]"
"Attach Rate System",""
"D Target Inventory Levels","['Target Inventory Levels']"
"W Distribution Planner Material Constraint Flag","['Prioritized Material Constraints']"
"W Distribution Capacity Demand Late Short Quantity","['Distribution Capacity Constraint']"
"SCH Output Violation Negative On Hand Summary","['Material Violation']"
"SCH Output Unscheduled Operations Skipped","['Operation Skipped']"
"SCH Output Unscheduled Operations Reason","['Reason for Unscheduled Operation']"
"SCH Material Receiving Date","['GR Receiving Date']"
"Actual L2","[]"
"Actual Cleansed vs Actual Gap%",""
"Actual Cleansed vs Actual Gap","[]"
"Disco Period","[]"
"ERP BOM Consumed Item Association","['ERP Input']"
"EOH","[]"
"Duration In Seconds","[]"
"Duplicate Volume","[]"
"Promo Days","[]"
"Production Target","[]"
"Production LY","[]"
"Production LC","[]"
"Production","[]"
"Product Segment L1","[]"
"Disaggregated Stat Fcst","[]"
"Publish Forecast Quantity D Lag2",""
"D Supplier Item Lead Time","['Proc Lead Time', 'Proc Lead Time']"
"D Supplier Commits Flex %","['Supplier Commits Flex %']"
"D Supplier Commits COC Change %","['Supplier Commits COC Change %']"
"D Supplier Commits COC Change","['Supplier Commits COC Change']"
"Attach Rate",""
"W Demand Priority Override","['Demand Priority Override']"
"W Demand Priority Baseline","['Demand Priority Baseline']"
"W Demand Plan Date Offset","['Demand Plan Date Offset']"
"SCH Output Violation Resource Summary","['Capacity Violation']"
"SCH Output Violation Operation Summary","['Sequence Violation']"
"D STO Alert o9 Criticality Index","['Criticality']"
"D STO Alert Status","['ERP STO Status']"
"SCH Resource Capacity","['Resource Base Strength']"
"SCH Request Parameters Time Unit","['Time Unit']"
"ERP Item BOM Routing Min LotSize","['ERP Input']"
"SCH Output Unscheduled Operations Queue Info","['Queue Info for Unscheduled operations']"
"ERP Item Approved Supplier Association","['ERP Input']"
"ERP DOS Target","['ERP Input']"
"ERP Consider Supplier Effectivity For Planning Flag","['ERP Input']"
"ERP Resource Consumed Per","['ERP Input']"
"ERP Re-Order Point Quantity","['ERP Input']"
"ERP Re-Order Point DOS","['ERP Input']"
"ERP PROC Exclude For OP Flag","[]"
"ERP PROC Exclude For MP Flag","[]"
"ERP Max Stock Target","['ERP Input']"
"ERP Max Stock BoS","['ERP Input']"
"Process Submission Status","[]"
"Process Status Date Stamp","[]"
"Process Owner","[]"
"ERP Target Inventory","['ERP Input']"
"ERP Supplier Start Date","['Supplier Start Date']"
"SCH Output Unscheduled Operations Flag","['Is Unscheduled Operation']"
"ERP Item Location Supplier Association","['ERP Input']"
"Attach Rate Override",""
"Attach Rate LY",""
"Attach Rate LC",""
"SCH Request Parameter Origin Date","['Origin Date']"
"SCH Production Requirements Quantity","['Demand Quantity']"
"SCH Production Requirements Due Date","['Due Date']"
"SCH Production Requirements Delivery Size","['Delivery Size']"
"D Sort By","['Sort By']"
"D Solver Flag Inventory Plan Type","['Solver Flag Inventory Plan Type']"
"D Solver Flag Inventory Plan Policy","['Solver Flag Inventory Plan Policy']"
"D STO Alert IF Prediction","['o9 IF Prediction']"
"D STO Alert Delivery Status","['Milestone Status']"
"D STO Alert Delivery Delay Reason","['Delay Status']"
"D STO Alert Delivery Days Delayed","['Days Delayed']"
"ERP Item BOM Routing LotSize Increment","['ERP Input']"
"ERP Resource Priority","['ERP Input']"
"Priority Number","[]"
"Priority Group Number","['Group Priority Number']"
"Priority Digits","[]"
"Active for Procurement Flag","['Active for Procurement']"
"W Other Capacity Demand Late Short Quantity","['Other Capacity Constraints']"
"W Number of Constraints buckets COC Change %","['COC # of Constraints Change %']"
"W Number of Constraints buckets","['# Constraints buckets']"
"W Number Total Overloads COC Change %","['COC # of Overloads Change %']"
"W Number Capacity Underloads COC Change %","['COC # of Underloads Change %']"
"W No Carry Inventory","['No Carry Inventory']"
"W Max Base Capacity Utilization %","['Max Base Capacity Utilization %']"
"Error Volume","[]"
"Error Summary","[]"
"ERP Soft Lot Size IL","[]"
"ERP Supplier End Date","['Supplier End Date']"
"SCH Request Parameters Horizon Start","['Horizon Start']"
"SCH Request Parameters Horizon End","['Horizon End']"
"SCH Request Parameters End Date","['End Date']"
"SCH Request Parameters Case Type","['Case Type']"
"SCH Routing to Resource Unload Association Boolean","['Unload Association']"
"SCH Routing to Resource Setup Association Boolean","['Setup Association']"
"SCH Routing to Resource Processing Association Boolean","['Processing Association']"
"PrO WIP Delivery Date Override","['PrO WIP Delivery Date Override']"
"PrO WIP Delivery Date Baseline","['PrO WIP Delivery Date Baseline']"
"PrO WIP Delivery Date","['WIP Delivery Date']"
"Exception count LC","[]"
"Exception Alert DR","['Demand Alert']"
"Error Record Count","[]"
"End Time","[]"
"W PO Shipped Quantity Baseline","['PO Shipped Quantity Baseline']"
"ERP Resource Routing Association","['ERP Input']"
"W PO Open Quantity Baseline","['PO Open Quantity Baseline']"
"W PO Delivery Date Override","['PO Delivery Date Override']"
"W PO Delivery Date Baseline","['PO Delivery Date Baseline']"
"W Other Material Demand Late Short Quantity","['Other Material Constraints']"
"D Rebalance Recommendation Transportation Cost","['Rebalance Transportation Cost']"
"PrO Header Creation Date","['Header Creation Date']"
"Excess Inventory LW",""
"Excess Inventory L4W",""
"Excess Inventory L12W",""
"Excess Inventory",""
"PrO Detail Open Quantity","[]"
"W Order Quantity TG","['Order Qty', 'Order Qty']"
"W Option Name","['Option Name']"
"PrO WIP Quantity TG","[]"
"PrO WIP Operation Quantity Override","['PrO WIP Operation Quantity Override']"
"SCH Request Parameters Objectives","['Objectives Combination']"
"SCH Resource IsParent","['Is Parent Resource']"
"SCH Resource Frozen Horizon UOM","['Frozen Horizon UOM']"
"SCH Resource Frozen Horizon Duration","['Frozen Horizon Duration']"
"D SS Capacity RCA Quantity","['SS Capacity RCA Quantity']"
"AL STO Outlier Corrected Lead Time Outbound","['Outlier Corrected Lead Time (Outbound)']"
"W Plan Start Bucket","['Plan Start Bucket']"
"W Plan End Bucket","['Plan End Bucket']"
"W Plan Current Bucket","['Plan Current Bucket']"
"W PROC Frozen Window Flag","['Frozen Window Flag']"
"W PO Shipped Quantity Override","['PO Shipped Quantity Override']"
"ATT ABC Classification","[]"
"PrO Open Quantity TG LC","[]"
"PrO Header Status","['Header Status']"
"PrO Header Last Update Date","['Header Last Update Date']"
"SCH Routing to Resource Capacity","['Required Resource Strength']"
"W PO Open Quantity Override","['PO Open Quantity Override']"
"SCH Resource Parent Type","['Parent Type']"
"D STO Alert OT Prediction","['o9 OT Prediction']"
"D STO Alert Inventory Status Projected","['Inventory Status@Commit Date']"
"D Rebalance Ship Date","['Ship Date']"
"SCH WO Completion Type","['Work Order Completion Type']"
"SCH Shift Day Indicator","['Day Indicator']"
"SCH o9 Item Routing Description","['o9 Maintained Input']"
"SCH o9 Item Routing Ability to Pause Boolean","['o9 Maintained Input']"
"SCH WO Quantity Override","['WO Quantity Override']"
"PrO Actual Plant Production Quantity","[]"
"PrO Actual Plant Consumption Quantity","[]"
"File Size","[]"
"Fcst Outside PLC Horizon Flag","[]"
"Fcst Outside PLC Horizon","[]"
"AL STO MAPE Outbound M","['ML MAPE % (Outbound)']"
"SCH Resource Item to ChangeoverID Association","['Resource Item to ChangeoverID Association']"
"AL STO Lead Time Observed M","[]"
"W Procurement Forecast Due to Orders","['Request Due to Orders']"
"W Procurement Forecast Due to Forecast","['Request Due to Forecast']"
"W Procurement Forecast Cumulative","['Cumulative Request']"
"D Resource Incremental Flag","['Resource Incremental Flag']"
"SCH o9 Item Routing Unload Time UOM","['o9 Maintained Input']"
"SCH o9 Item Routing Unload Time","['o9 Maintained Input']"
"SCH o9 Item Routing Setup Type","['o9 Maintained Input']"
"SCH o9 Item Routing Setup Time UOM","['o9 Maintained Input']"
"Planner Assigned Rule","[]"
"Planner Assigned Algorithm List","[]"
"File Timestamp","[]"
"Planned Production",""
"Percentage Error","[]"
"PrO Detail Actual Start Date","['Detail Actual Start Date']"
"SCH Routing to Resource Association","['Routing To Resource Association']"
"PrO Detail Actual Finish Date","['Detail Actual Finish Date']"
"D Rebalance Recommendation","['Rebalance Recommendation']"
"SCH WO Engine Project Name","['WO Engine Project Name']"
"SCH WO Due Date Override","['WO Due Date Override']"
"W Resource Base Units Capacity","[]"
"W Resource Base Machine Capacity","[]"
"W Resource Base Labour Capacity","[]"
"W RTF","['Previous Commit']"
"W Procurement Unconstrained Forecast COC Change","['Unconstrained Request COC Change']"
"W Procurement Total Requirements","['Total Request']"
"W Procurement Release Window Input","['Release Window']"
"W Procurement Release Fence Start Bucket Input","['Release Fence']"
